Customer_ID,Customer_Name,Nationality,Room_Type,Units_Rooms,Days_Booked,Weekend_Days,Arrival_Month,Arrival_Month_Name,Price_Per_Room,Total_Payment,Cancellation,Year
228,Francesca van Dijk,France,family,1,4,0,5,May,2000,8000,0,2023
229,Chiara Johansson,Italy,couple,1,4,0,4,April,2000,8000,0,2023
230,Mikhail Lebedev,Russia,single,1,5,1,9,September,2000,10000,0,2023
231,Pierre Thomas,Italy,family,2,11,4,5,May,2000,44000,0,2023
232,Chiara Schmidt,Germany,couple,1,5,1,8,August,2000,10000,0,2023
233,Jean Romano,Sweden,couple,2,1,0,4,April,2000,2000,1,2023
234,Katarina Lebedev,Russia,family,1,1,0,8,August,2000,2000,0,2023
235,Nathalie Dubois,Spain,family,1,5,1,8,August,2000,10000,0,2023
236,Karin Olsson,Germany,couple,1,2,2,10,October,2000,4000,0,2023
237,Igor Volkov,Russia,couple,1,2,1,9,September,2000,4000,0,2023
238,Boris Zaytsev,Russia,couple,2,5,4,10,October,2000,20000,0,2023
239,Sergei Sokolov,Russia,couple,1,9,0,4,April,2000,18000,0,2023
240,Jose Colombo,Germany,family,1,6,1,9,September,2000,12000,0,2023
241,Marco Durand,France,single,1,2,1,6,June,2000,4000,0,2023
242,Sergei Petrov,Russia,couple,1,2,2,4,April,2000,4000,0,2023
243,Eva Robert,Italy,couple,2,1,0,8,August,2000,4000,0,2023
244,Valentina Romano,France,family,1,3,1,2,February,2000,6000,0,2023
245,Nathalie Weber,Italy,couple,1,1,0,7,July,2000,2000,0,2023
246,Ingrid Russo,Germany,couple,1,3,3,2,February,2000,6000,0,2023
247,Elena Pavlov,Russia,couple,2,6,3,5,May,2000,24000,0,2023
248,Valentina Larsson,Spain,family,2,5,1,6,June,2000,20000,0,2023
249,Pilar Romano,Italy,single,1,13,4,8,August,2000,26000,0,2023
250,Hans Becker,Italy,single,1,4,3,5,May,2000,8000,0,2023
251,Sylvie Thomas,Sweden,family,1,3,3,1,January,2000,6000,0,2023
252,Kees Rossi,Netherlands,couple,1,1,1,2,February,2000,2000,0,2023
253,Boris Kuznetsov,Russia,family,2,7,3,5,May,2000,28000,0,2023
254,Anna Fernandez,Germany,single,1,12,0,7,July,2000,24000,0,2023
255,Francesca Bianchi,Germany,family,2,1,1,7,July,2000,2000,1,2023
256,Carlos Andersson,Norway,couple,2,1,1,8,August,2000,4000,0,2023
257,Isabel Becker,Italy,family,1,2,1,2,February,2000,4000,0,2023
258,Irina Golubev,Russia,couple,1,13,1,10,October,2000,26000,0,2023
259,Michel Rossi,Norway,family,1,5,4,5,May,2000,5000,1,2023
260,Klaus Fernandez,Sweden,couple,1,4,3,3,March,2000,4000,1,2023
261,Andreas de Vries,Italy,family,1,2,1,10,October,2000,4000,0,2023
262,Pilar Larsson,Norway,single,1,1,1,8,August,2000,2000,0,2023
263,Pavel Petrov,Russia,family,1,1,0,9,September,2000,2000,0,2023
264,Carlos Weber,Germany,couple,1,1,1,5,May,2000,2000,0,2023
265,Eva Romano,Spain,single,1,4,0,4,April,2000,8000,0,2023
266,Tatiana Morozov,Russia,couple,2,7,4,10,October,2000,28000,0,2023
267,Igor Novikov,Russia,couple,1,9,4,5,May,2000,9000,1,2023
268,Natasha Novikov,Russia,single,1,3,1,4,April,2000,6000,0,2023
269,Katarina Morozov,Russia,couple,1,1,1,8,August,2000,2000,0,2023
270,Irina Novikov,Russia,single,1,3,0,7,July,2000,6000,0,2023
271,Jan Martin,Norway,single,1,4,3,10,October,2000,8000,0,2023
272,Michel Gonzalez,Spain,family,2,10,1,9,September,2000,40000,0,2023
273,Eva Garcia,Poland,family,1,6,3,2,February,2000,12000,0,2023
274,Erik Thomas,Finland,couple,1,9,1,5,May,2000,18000,0,2023
275,Tatiana Golubev,Russia,family,1,10,4,9,September,2000,20000,0,2023
276,Marco Rodriguez,Spain,single,1,1,0,8,August,2000,2000,0,2023
277,Olga Petrov,Russia,single,1,4,1,6,June,2000,4000,1,2023
278,Marco Ferrari,Poland,family,2,3,1,2,February,2000,12000,0,2023
279,Philippe Fernandez,Netherlands,couple,1,1,1,10,October,2000,2000,0,2023
280,Svetlana Vinogradov,Russia,family,2,1,1,8,August,2000,4000,0,2023
281,Lisa Bianchi,Spain,couple,1,13,4,3,March,2000,26000,0,2023
282,Larisa Vasiliev,Russia,couple,2,4,3,3,March,2000,16000,0,2023
283,Larisa Sokolov,Russia,couple,1,3,1,6,June,2000,6000,0,2023
284,Isabel Sanchez,Finland,couple,1,2,1,1,January,2000,2000,1,2023
285,Karin Dubois,Spain,couple,2,2,2,4,April,2000,8000,0,2023
286,Eva Meyer,France,family,2,8,3,2,February,2000,32000,0,2023
287,Isabelle Jansen,Netherlands,couple,1,7,1,3,March,2000,14000,0,2023
288,Eva Karlsson,Sweden,couple,1,9,4,6,June,2000,18000,0,2023
289,Emma Romano,Netherlands,couple,1,1,1,10,October,2000,2000,0,2023
290,Anna Leroy,Netherlands,single,1,4,0,9,September,2000,8000,0,2023
291,Erik Esposito,Germany,single,1,10,1,4,April,2000,20000,0,2023
292,Marie Robert,Netherlands,couple,1,3,0,7,July,2000,6000,0,2023
293,Ulrike Schmidt,Norway,family,2,1,0,11,November,2000,4000,0,2023
294,Klaus Leroy,Germany,single,1,2,2,12,December,2000,4000,0,2023
295,Ana Johansson,France,family,2,5,4,8,August,2000,20000,0,2023
296,Dmitri Vasiliev,Russia,single,1,1,1,9,September,2000,2000,0,2023
297,Chiara Karlsson,Italy,couple,1,1,1,4,April,2000,2000,0,2023
298,Svetlana Sokolov,Russia,couple,1,5,3,10,October,2000,10000,0,2023
299,Irina Zaytsev,Russia,single,1,3,1,12,December,2000,6000,0,2023
300,Valentina Leroy,Sweden,couple,1,1,0,6,June,2000,2000,0,2023
301,Mikhail Petrov,Russia,couple,1,14,3,5,May,2000,28000,0,2023
302,Astrid Wagner,Spain,couple,1,6,3,5,May,2000,12000,0,2023
303,Ingrid Fernandez,Italy,single,1,3,1,3,March,2000,6000,0,2023
304,Marie Thomas,Italy,couple,1,12,2,11,November,2000,24000,0,2023
305,Lars de Vries,France,family,2,2,0,6,June,2000,4000,1,2023
306,Jose Fischer,Netherlands,couple,1,11,2,6,June,2000,22000,0,2023
307,Jan Leroy,Netherlands,single,1,5,3,6,June,2000,5000,1,2023
308,Petra Martinez,France,single,1,2,1,5,May,2000,4000,0,2023
309,Mikhail Vasiliev,Russia,family,1,2,1,6,June,2000,4000,0,2023
310,Eva de Vries,Germany,single,1,10,2,2,February,2000,10000,1,2023
311,Olga Vinogradov,Russia,couple,1,3,2,4,April,2000,6000,0,2023
312,Giuseppe Lopez,Italy,single,1,10,4,2,February,2000,20000,0,2023
313,Emma Jansen,Germany,family,3,2,2,9,September,2000,12000,0,2023
314,Carlos van Dijk,Germany,couple,2,13,4,3,March,2000,52000,0,2023
315,Larisa Volkov,Russia,couple,2,5,0,12,December,2000,20000,0,2023
316,Emma Sanchez,France,couple,1,4,1,2,February,2000,8000,0,2023
317,Manuel Rossi,France,single,1,12,0,8,August,2000,24000,0,2023
318,Astrid Leroy,France,couple,1,1,1,3,March,2000,2000,0,2023
319,Sophie Russo,Poland,family,1,3,0,3,March,2000,6000,0,2023
320,Ingrid de Vries,Netherlands,couple,1,10,3,10,October,2000,20000,0,2023
321,Carmen Karlsson,France,family,2,1,0,2,February,2000,4000,0,2023
322,Catherine Russo,Germany,couple,1,3,2,10,October,2000,6000,0,2023
323,Manuel Weber,Sweden,family,1,4,3,9,September,2000,8000,0,2023
324,Nils Ferrari,Spain,family,1,11,1,3,March,2000,22000,0,2023
325,Catherine Russo,Sweden,couple,2,11,1,3,March,2000,44000,0,2023
326,Antonio Bianchi,Italy,single,1,3,3,8,August,2000,6000,0,2023
327,Pilar Meyer,France,couple,1,10,3,9,September,2000,20000,0,2023
328,Sabine Bernard,Czech Republic,couple,1,7,1,3,March,2000,14000,0,2023
329,Marie Garcia,France,single,1,1,0,2,February,2000,2000,0,2023
330,Lars Bernard,Sweden,couple,1,13,3,10,October,2000,26000,0,2023
331,Nils Petit,Italy,family,1,4,3,6,June,2000,8000,0,2023
332,Thomas Gonzalez,France,family,1,1,0,3,March,2000,2000,0,2023
333,Chiara Romano,Netherlands,couple,2,7,1,9,September,2000,28000,0,2023
334,Pilar Martinez,Spain,couple,2,4,2,8,August,2000,16000,0,2023
335,Chiara Fischer,Spain,couple,1,1,0,3,March,2000,2000,0,2023
336,Philippe Gonzalez,Czech Republic,single,1,1,0,8,August,2000,2000,0,2023
337,Alessia Janssen,Germany,couple,1,2,1,9,September,2000,2000,1,2023
338,Alexei Golubev,Russia,family,1,11,2,11,November,2000,22000,0,2023
339,Alessia Sanchez,Italy,single,1,3,1,4,April,2000,6000,0,2023
340,Alexei Petrov,Russia,couple,2,4,0,1,January,2000,16000,0,2023
341,Marco Garcia,Denmark,couple,2,2,2,10,October,2000,8000,0,2023
342,Chiara van den Berg,Norway,family,2,5,3,10,October,2000,20000,0,2023
343,Emma van den Berg,Norway,single,1,7,4,2,February,2000,14000,0,2023
344,Tatiana Lebedev,Russia,couple,1,9,4,5,May,2000,18000,0,2023
345,Carmen Durand,Netherlands,single,1,11,1,8,August,2000,22000,0,2023
346,Nathalie Fernandez,Denmark,single,1,1,0,10,October,2000,2000,0,2023
347,Carmen Schmidt,France,couple,1,5,4,2,February,2000,10000,0,2023
348,Alessia Romano,Italy,single,1,1,0,1,January,2000,2000,0,2023
349,Irina Volkov,Russia,family,1,6,3,11,November,2000,12000,0,2023
350,Larisa Popov,Russia,couple,1,1,0,8,August,2000,2000,0,2023
351,Emma van den Berg,Netherlands,couple,1,1,1,9,September,2000,1000,1,2023
352,Hans Rodriguez,Germany,couple,1,14,0,1,January,2000,28000,0,2023
353,Kees Bakker,Italy,family,1,4,0,5,May,2000,8000,0,2023
354,Alexei Smirnov,Russia,couple,1,2,0,7,July,2000,4000,0,2023
355,Katarina Popov,Russia,family,2,2,2,9,September,2000,8000,0,2023
356,Jose Thomas,France,couple,2,3,0,5,May,2000,12000,0,2023
357,Stefan Rossi,Italy,family,1,1,1,8,August,2000,1000,1,2023
358,Irina Morozov,Russia,couple,1,3,3,10,October,2000,6000,0,2023
